,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident
40,3,1,1,2,0,4,8,3,9,6,5,1,0,0,3,2,8,2,3,2,5,3,5,3
41,3,1,1,4,3,2,0,3,2,6,5,1,0,0,0,2,8,2,0,0,1,2,5,0
42,3,0,1,2,0,1,0,3,6,4,5,1,0,0,0,2,1,2,0,1,0,2,5,12
43,6,0,1,4,0,3,9,3,6,2,7,7,0,0,3,2,8,2,2,1,4,2,1,10
44,6,0,1,4,0,3,10,0,6,2,0,7,3,0,3,2,2,2,0,1,4,2,5,1
45,0,1,1,4,0,2,4,3,7,4,7,7,0,0,3,2,8,2,3,2,5,3,5,1
46,0,1,1,4,0,0,14,3,7,4,5,0,0,0,3,2,8,2,3,2,5,3,5,2
47,0,1,1,5,0,4,12,3,9,2,5,0,0,0,3,2,8,2,0,0,0,2,5,10
48,1,0,1,4,0,4,14,3,7,2,5,0,0,0,3,2,6,2,3,2,5,3,5,1
49,1,0,1,2,0,1,0,3,7,4,6,0,0,0,3,2,8,2,0,1,0,1,5,0
50,5,0,1,4,2,0,0,3,7,2,5,3,0,0,3,2,8,2,0,0,3,2,5,7
51,5,1,1,4,0,2,7,0,7,4,5,3,0,0,3,2,8,2,3,2,5,3,5,13
52,2,2,1,1,0,1,15,3,7,0,6,1,0,0,3,2,1,2,0,1,1,2,5,13
53,2,1,1,1,2,2,0,3,7,2,5,1,0,0,3,2,8,2,0,1,1,2,5,10
54,2,1,1,4,0,3,14,3,2,2,5,1,0,0,3,2,2,2,3,2,5,3,5,12
55,2,0,2,4,0,2,0,3,7,4,5,1,0,0,3,2,8,2,1,0,0,2,5,16
56,4,0,1,2,0,2,9,1,4,2,5,1,0,0,3,2,6,2,0,1,1,2,5,11
57,4,1,1,4,0,2,0,3,9,0,5,1,0,0,3,2,8,2,3,2,5,3,5,10
58,5,0,2,4,0,3,0,0,7,2,5,5,0,3,3,4,8,2,3,2,5,3,5,1
59,5,2,1,4,0,0,5,3,6,2,5,5,3,3,3,4,8,2,0,1,0,2,5,3
60,0,0,1,4,0,1,0,3,4,5,5,7,0,0,3,2,8,2,3,2,5,3,5,1
61,0,1,1,4,0,0,11,3,4,0,5,7,0,0,3,2,8,2,3,2,5,3,5,16
62,3,1,1,4,0,2,0,3,7,2,5,7,0,0,3,2,2,2,0,1,4,2,5,13
63,3,1,1,1,0,2,9,1,3,2,5,7,0,0,3,2,8,2,3,2,5,3,5,4
64,1,4,0,4,0,2,9,3,6,1,5,1,2,0,3,2,8,2,1,0,3,2,5,2
65,1,1,1,4,0,3,0,3,2,4,5,1,0,0,3,2,2,2,1,0,1,2,5,19
66,4,1,2,4,0,1,0,1,3,4,7,2,0,0,3,2,2,2,1,0,1,2,5,1
67,4,0,1,4,2,3,0,3,6,6,5,2,0,0,3,2,8,11,0,1,0,2,5,10
68,6,0,1,4,0,1,5,3,7,2,0,1,3,0,3,2,8,2,3,2,5,3,5,13
69,6,1,1,1,1,2,9,3,6,4,5,1,0,0,3,2,8,2,0,1,0,2,5,12
70,1,0,1,1,0,2,4,3,6,2,7,0,0,0,0,2,8,7,1,1,0,2,5,0
71,1,1,1,4,3,2,0,3,7,0,3,0,0,0,0,2,2,2,3,2,5,3,5,11
72,4,1,1,4,0,2,0,3,6,4,6,1,2,0,3,2,8,2,0,1,0,2,5,16
73,4,1,1,1,0,3,0,3,9,4,5,1,0,0,3,2,8,2,0,1,3,2,5,3
74,4,1,1,4,0,4,1,3,7,2,5,1,0,0,3,2,8,2,3,2,5,3,5,12
75,4,1,1,4,0,2,9,3,6,0,5,1,0,0,3,2,8,2,0,0,1,2,5,11
76,5,2,1,1,0,0,4,3,6,4,7,1,0,0,3,2,8,9,2,1,1,2,5,1
77,6,2,2,4,3,2,0,3,6,6,5,1,0,0,3,2,8,2,3,2,5,3,5,3
78,3,1,1,4,0,3,0,3,7,2,6,7,2,0,0,2,2,2,0,0,0,2,5,1
79,3,3,1,2,2,1,0,3,2,4,5,7,0,0,0,2,8,2,3,2,5,3,5,1
80,6,1,1,4,0,0,4,3,4,4,5,0,0,3,0,2,1,2,0,0,1,2,5,0
81,6,1,1,4,0,0,5,3,6,0,5,0,0,3,0,2,2,2,0,1,0,1,5,17
82,3,2,1,0,2,1,8,3,2,4,5,5,0,0,3,2,2,2,3,2,5,3,5,3
83,3,2,1,4,3,2,4,3,6,4,5,5,0,0,3,2,8,9,2,0,4,2,5,10
84,6,2,2,1,2,1,14,3,6,6,5,0,0,0,0,2,6,2,0,0,0,2,5,3
85,6,2,1,4,0,0,7,3,9,2,5,0,0,0,0,2,8,2,3,2,5,3,5,0
86,6,1,1,4,2,2,7,3,6,2,5,0,0,0,0,2,8,7,3,2,5,3,5,12
87,1,0,2,4,0,4,4,3,9,4,5,7,0,0,3,2,8,2,0,0,1,2,5,1
88,1,0,1,4,0,1,0,3,6,0,5,7,0,0,3,2,8,2,3,2,5,3,5,10
89,3,1,1,4,0,2,0,3,6,0,5,1,0,0,3,2,8,7,0,1,0,2,5,9
90,3,1,1,4,0,3,5,3,7,2,5,1,2,0,3,2,8,2,0,1,1,2,5,9
91,1,0,1,1,0,1,7,3,7,2,5,1,0,0,3,2,8,3,3,2,5,3,5,10
92,1,0,1,1,2,3,5,3,9,2,5,1,0,0,3,2,8,3,3,2,5,3,5,10
93,3,2,1,4,0,0,0,3,2,2,5,0,0,0,3,2,2,2,0,1,0,2,5,10
94,3,2,1,4,0,2,8,0,2,0,5,0,0,0,3,2,8,2,3,2,5,3,5,11
95,4,0,1,4,0,1,5,3,9,0,5,7,4,0,3,2,8,2,3,2,5,3,5,3
96,4,0,1,4,0,1,10,3,6,2,6,7,3,0,3,2,8,2,3,2,5,3,5,1
97,4,1,1,4,0,1,3,3,6,2,6,7,3,0,3,2,8,2,0,0,0,2,5,0
98,3,0,2,4,0,1,0,3,9,2,5,1,0,0,0,2,1,2,0,1,1,1,5,3
99,3,2,1,4,0,3,0,3,2,6,5,1,0,0,0,2,8,2,0,0,3,2,5,3
100,4,0,1,4,0,3,7,3,7,2,5,7,2,0,0,2,8,2,0,0,1,2,5,10
101,4,1,1,1,0,2,0,3,6,2,5,7,0,0,0,2,8,2,3,2,5,3,5,13
102,1,0,1,4,0,2,3,3,7,2,5,7,0,0,0,2,8,2,3,2,5,3,5,1
103,1,0,1,4,0,1,9,3,7,2,5,7,0,0,0,2,8,2,0,1,1,2,5,1
104,1,0,1,1,0,2,9,3,7,2,5,0,0,0,3,2,8,6,0,1,0,1,5,10
105,1,2,1,4,0,2,7,0,9,2,5,0,2,0,3,2,2,2,3,2,5,3,5,10
106,1,1,2,4,0,3,7,3,2,4,5,0,0,0,3,2,8,2,0,1,0,1,5,17
107,4,3,1,4,0,2,7,3,7,4,5,1,0,0,2,2,8,2,3,2,5,3,5,2
108,4,3,1,4,0,3,9,3,7,1,5,1,0,0,2,2,8,2,0,1,1,1,5,12
109,4,3,1,1,0,4,5,3,9,2,5,1,0,0,2,2,8,2,3,2,5,3,5,11
110,4,3,1,1,0,2,7,3,6,1,5,1,0,0,2,2,8,2,3,2,5,3,5,12
111,1,2,1,1,0,0,9,3,4,2,5,7,0,0,1,2,8,9,3,2,5,3,5,13
112,1,1,2,1,0,2,7,0,9,0,5,7,0,0,1,2,8,2,0,1,0,2,5,13
113,1,1,1,1,0,2,4,3,6,5,5,7,0,0,1,2,8,2,3,2,5,3,5,9
114,0,0,1,1,0,1,7,3,7,2,5,0,0,0,3,2,6,11,3,2,5,3,5,10
115,0,1,1,1,0,2,7,3,2,6,5,0,0,0,3,2,8,3,0,0,0,2,5,9
116,1,1,2,4,3,2,7,3,4,2,5,0,2,0,3,2,8,2,1,0,4,2,5,12
117,0,0,1,4,0,3,8,3,1,1,5,1,0,0,3,2,8,3,0,1,0,2,5,3
118,2,4,0,4,0,3,0,3,0,4,5,0,0,0,0,2,2,9,3,2,5,3,5,10
119,2,0,2,1,0,4,7,3,7,2,5,0,0,0,0,2,8,2,3,2,5,3,5,13
120,2,0,1,1,0,2,5,3,7,2,5,0,0,0,0,2,8,2,0,1,0,2,5,1
121,2,0,1,1,2,2,10,3,4,2,5,0,2,0,0,2,8,11,3,2,5,3,5,10
122,6,1,1,1,0,1,0,0,7,2,5,1,0,3,0,4,2,2,0,1,0,2,5,3
123,6,0,1,1,0,3,8,0,6,6,5,1,0,3,0,4,8,2,3,2,5,3,5,10
124,0,0,1,1,0,1,5,3,7,6,5,7,0,0,3,2,8,2,0,0,3,2,5,12
125,0,1,1,4,0,3,9,3,6,2,5,7,0,0,3,2,8,2,3,2,5,3,5,1
126,0,0,1,4,0,4,7,3,6,4,5,7,0,0,3,2,8,7,0,1,0,1,5,11
127,5,0,1,4,0,1,5,1,7,6,5,3,0,0,3,2,2,2,1,0,0,2,5,12
128,1,3,2,1,0,2,8,0,7,6,5,0,0,0,3,2,8,2,0,0,3,2,5,0
129,1,2,1,1,0,2,7,3,7,4,5,0,0,0,3,2,8,2,3,2,5,3,5,18
130,2,1,1,1,0,0,5,3,7,6,5,1,4,3,3,2,8,9,2,1,4,2,5,4
131,3,0,1,1,0,2,12,3,9,4,5,1,0,0,0,2,8,7,3,2,5,3,5,3
132,3,0,1,4,0,0,0,3,2,4,5,1,0,0,0,2,8,2,0,1,0,2,5,4
133,3,0,1,4,0,2,0,3,6,0,5,1,0,0,0,2,1,2,1,1,4,2,5,3
134,6,1,1,1,2,0,14,3,2,6,5,0,0,0,3,2,8,9,3,2,5,3,5,11
135,2,3,1,4,0,2,7,3,7,2,5,7,0,3,0,4,8,3,0,1,3,2,5,3
136,2,0,1,4,0,1,5,3,7,6,5,7,0,3,0,4,2,2,0,1,1,2,5,1
137,0,1,1,4,0,1,5,3,12,6,3,1,0,3,2,2,8,2,0,1,3,2,5,9
138,2,0,2,4,0,2,3,3,6,2,6,0,2,0,3,2,8,2,0,1,3,2,5,3
139,0,1,1,4,2,4,14,3,7,6,3,1,0,0,0,2,1,7,3,2,5,3,5,1
140,0,1,1,2,0,4,9,3,6,4,5,0,0,3,0,4,8,2,0,0,0,2,5,3
141,0,1,1,4,0,2,0,3,7,4,5,0,0,3,0,4,8,2,1,1,4,2,5,3
142,4,3,1,4,0,4,9,3,7,2,5,1,0,3,0,2,1,2,2,1,1,2,5,3
143,4,3,1,4,0,1,5,3,6,4,5,1,0,3,0,2,1,6,3,2,5,3,5,1
144,0,0,2,4,0,1,0,3,7,0,5,7,0,3,0,4,1,2,3,2,5,3,5,1
145,0,0,1,4,0,2,5,3,2,6,5,7,0,3,0,4,2,2,0,1,1,2,5,3
146,0,0,1,1,0,2,5,3,6,2,5,7,0,3,0,4,8,11,0,1,0,2,5,16
147,0,0,2,4,2,2,8,3,6,2,5,7,0,3,0,4,8,2,0,0,3,2,5,1
148,2,0,1,4,0,2,7,3,7,4,7,7,0,0,3,2,8,2,0,1,4,0,5,10
149,0,3,1,4,2,2,0,3,9,4,5,0,0,3,3,4,8,8,0,1,0,2,5,13
150,3,0,1,3,0,1,0,3,9,4,5,7,0,0,0,2,8,2,3,2,5,3,5,1
151,3,1,1,4,0,2,4,3,7,2,5,7,0,0,0,2,8,5,0,1,0,2,5,1
152,3,1,1,4,0,4,1,3,7,6,5,7,0,0,0,2,1,2,0,1,3,2,5,16
153,3,0,1,4,0,0,0,3,6,2,3,1,0,3,0,5,2,7,3,2,5,3,5,13
154,3,0,1,1,0,1,5,0,12,0,5,1,2,3,0,5,8,2,0,1,1,2,5,4
155,2,4,0,1,0,1,4,3,7,2,3,7,0,0,3,0,8,2,0,1,3,2,5,16
156,2,1,1,1,0,2,4,3,7,2,8,7,0,0,3,0,8,11,0,1,3,2,5,12
157,2,1,1,4,0,2,0,0,2,2,5,7,0,0,3,0,8,2,3,2,5,3,5,9
158,2,3,1,4,3,2,0,3,6,2,6,7,0,3,0,4,9,3,0,1,3,2,5,13
159,2,3,1,4,0,3,0,3,7,2,6,7,0,3,0,4,8,2,3,2,5,3,5,12
160,0,3,1,4,0,3,10,0,9,0,5,7,0,0,0,2,8,3,0,1,0,2,5,11
161,0,1,1,4,2,3,9,3,6,2,5,7,0,0,0,2,8,2,1,0,0,2,5,1
162,1,2,1,4,0,6,7,3,6,4,5,0,0,3,2,2,8,2,0,1,1,1,5,1
163,1,1,1,4,0,2,0,3,6,2,5,0,0,3,2,2,8,11,3,2,5,3,5,1
164,1,1,1,4,0,1,0,1,2,2,5,0,0,3,2,2,8,2,0,1,4,2,5,4
165,5,0,1,1,0,2,10,3,6,2,5,0,0,3,0,2,8,2,3,2,5,3,5,0
166,5,0,1,4,0,1,10,3,6,2,6,0,3,3,0,2,8,2,2,0,4,2,6,9
167,2,2,1,2,2,2,0,3,6,2,6,1,0,3,0,4,8,9,3,2,5,3,5,2
168,2,0,1,4,0,3,7,3,6,2,5,1,0,3,0,4,1,2,0,1,1,2,5,9
169,3,1,1,4,0,1,8,3,7,2,5,7,0,0,0,2,2,2,3,2,5,3,5,10
170,3,1,2,1,0,1,5,3,9,0,5,7,0,0,0,2,2,2,1,0,0,2,5,13
171,1,2,1,2,2,3,0,3,2,4,5,7,0,0,3,2,8,7,0,1,0,1,5,12
172,1,2,1,1,0,0,0,3,7,2,5,7,0,0,3,2,8,1,3,2,5,3,5,1
173,1,0,2,4,0,3,5,3,1,2,5,7,0,0,3,2,8,2,3,2,5,3,5,13
174,3,1,1,4,3,2,0,3,7,2,5,0,0,3,0,2,8,1,0,1,0,2,5,10
175,3,2,1,4,2,2,7,3,4,4,6,0,0,3,0,2,8,2,3,2,5,3,5,3
176,2,0,1,0,0,2,0,3,7,2,5,0,0,3,0,4,2,2,0,1,1,2,5,10
177,2,0,1,4,0,2,0,3,7,6,5,0,0,3,0,4,8,2,2,0,0,2,5,9
178,5,0,1,4,0,3,0,3,2,6,5,7,0,3,3,2,8,2,3,2,5,3,5,10
179,5,1,1,4,0,0,0,3,2,4,5,7,0,3,3,2,8,2,0,1,4,2,5,9
180,6,1,1,4,0,1,5,3,7,2,5,1,0,3,3,3,8,2,0,1,1,1,5,11
181,6,1,1,4,0,4,7,3,7,1,5,1,0,3,3,4,8,2,1,0,0,2,5,0
182,6,1,1,4,0,3,8,0,1,2,5,1,0,3,3,4,8,2,3,2,5,3,5,10
183,6,1,1,4,0,0,14,3,7,4,5,1,0,3,3,4,1,2,3,2,5,3,5,13
184,4,0,1,0,0,2,7,3,6,4,5,7,4,0,3,2,1,3,0,1,4,2,5,10
185,4,0,1,4,0,2,8,3,2,2,5,7,0,0,3,2,2,2,0,1,0,2,5,11
186,0,4,0,1,2,4,14,3,6,2,5,7,0,3,0,2,1,2,3,2,5,3,5,9
187,0,1,1,4,3,2,5,3,6,4,7,7,0,3,0,2,8,2,3,2,5,3,5,11
188,0,2,2,4,0,3,0,3,7,4,5,7,0,3,0,2,8,2,0,1,0,2,5,10
189,0,1,1,4,3,2,0,0,9,2,5,1,0,3,0,2,8,2,1,0,0,2,5,11
190,1,0,1,4,0,0,0,3,6,2,6,1,0,3,0,4,2,2,0,1,0,2,5,3
191,1,0,1,4,2,1,0,3,9,6,5,1,0,3,0,4,2,2,0,1,0,2,5,7
192,6,0,1,4,0,6,16,3,9,2,5,1,4,3,2,8,8,2,1,0,0,2,5,3
193,6,0,2,4,0,3,0,3,7,0,5,1,0,3,2,8,8,2,3,2,5,3,5,0
194,6,0,1,4,2,1,14,3,3,1,5,1,0,3,2,8,8,2,0,1,0,2,5,12
195,6,2,1,4,0,2,0,0,7,4,5,7,0,3,0,4,8,2,3,2,5,3,5,1
196,1,0,1,4,0,1,0,3,7,4,5,2,0,3,0,4,8,2,0,1,4,2,5,1
197,1,0,1,4,0,0,0,3,1,1,6,7,0,0,3,2,8,2,0,0,0,2,5,10
198,1,4,0,4,0,2,8,3,7,4,5,7,0,3,0,4,8,2,3,2,5,3,5,10
199,6,2,1,4,0,1,5,3,7,4,5,1,0,0,3,2,8,2,3,2,5,3,5,0
200,5,4,0,1,0,2,5,3,7,4,5,0,0,3,2,2,8,2,0,1,0,2,5,1
201,0,0,2,0,2,2,0,3,6,2,5,0,0,3,0,4,2,2,1,1,0,2,5,12
202,0,0,1,4,0,1,5,3,7,2,6,0,4,3,0,4,2,7,2,0,4,2,6,0
203,6,0,1,4,0,1,5,3,9,2,5,0,0,3,2,4,1,2,2,0,3,1,0,12
204,6,0,1,4,0,1,5,3,7,4,5,0,0,3,2,4,8,2,0,1,4,2,5,9
205,0,1,2,4,0,2,5,3,7,4,5,1,0,3,3,2,8,2,3,2,5,3,5,18
206,0,0,1,4,0,0,0,3,2,4,5,1,0,3,3,2,8,11,2,0,4,2,0,10
207,6,0,1,4,2,1,0,3,6,4,5,1,1,0,3,2,8,2,3,2,5,3,5,10
208,6,2,1,2,2,1,0,3,12,6,5,1,0,0,3,2,8,2,0,1,3,2,5,10
209,0,1,1,4,0,2,10,3,7,4,5,7,0,3,3,2,8,2,1,1,1,2,5,0
210,0,1,1,4,2,0,0,3,6,4,5,7,0,3,3,2,8,2,1,1,3,2,5,12
211,5,4,0,4,3,4,10,3,9,6,3,0,0,3,0,2,8,2,1,1,1,2,5,2
212,5,2,1,2,0,0,10,3,4,1,5,0,0,3,0,2,8,2,1,1,3,2,5,16
213,4,0,1,0,0,0,0,3,7,4,5,7,2,3,0,8,1,11,0,1,0,2,5,13
214,4,1,1,4,0,3,4,3,9,4,5,7,0,3,0,8,1,3,1,0,0,2,5,0
215,4,0,1,2,0,0,0,3,1,2,5,7,0,3,0,4,8,2,1,1,1,2,5,11
216,4,1,2,4,0,1,5,3,6,6,5,7,0,3,0,4,8,9,0,1,1,2,5,0
217,6,1,1,0,1,1,7,3,5,2,5,7,0,3,3,4,8,9,3,2,5,3,5,10
218,6,1,1,2,0,3,8,3,5,2,5,7,0,3,3,4,8,7,1,0,3,2,5,9
219,5,2,1,1,0,2,4,3,5,4,5,7,0,3,3,2,8,7,0,0,0,2,5,0
220,0,0,1,2,0,0,6,0,5,4,5,7,0,3,0,4,8,7,0,1,0,2,5,13
221,0,0,1,2,0,2,8,3,5,6,3,7,0,3,0,4,8,3,3,2,5,3,5,10
222,0,0,1,2,0,1,4,3,12,6,3,7,0,3,0,4,8,2,0,1,1,1,5,9
223,0,0,1,4,0,0,4,3,5,2,5,7,0,3,0,4,8,2,0,1,0,1,5,10
224,2,0,1,0,0,3,0,3,5,4,5,7,0,3,0,8,8,2,3,2,5,3,5,0
225,5,2,1,0,0,1,0,3,5,2,0,0,3,0,3,2,8,2,2,1,3,2,5,0
226,5,4,0,1,0,2,7,3,5,2,7,0,0,0,3,2,8,2,3,2,5,3,5,11
227,5,4,0,1,0,0,7,3,6,4,7,0,0,0,3,2,8,2,0,1,1,2,5,0
228,5,4,0,4,0,2,0,3,5,4,7,0,0,0,3,2,8,2,0,1,0,2,5,3
229,5,4,0,4,0,2,15,3,5,4,7,0,0,0,3,2,8,2,3,2,5,3,5,3
230,5,4,0,1,0,2,7,3,5,4,5,0,0,0,3,2,8,2,2,1,4,1,0,11
231,4,3,1,4,0,1,15,3,6,4,5,7,0,3,3,4,8,2,2,1,0,1,6,7
232,4,0,1,4,0,2,4,3,1,4,5,7,0,3,3,4,8,2,3,2,5,3,5,10
233,5,0,2,2,0,1,0,3,6,4,5,2,0,3,2,4,8,2,0,1,0,2,5,0
234,5,0,1,4,0,0,7,3,7,2,6,2,0,3,2,4,8,2,2,0,1,2,5,12
235,5,0,1,4,0,0,0,3,9,2,5,7,0,3,0,2,8,2,3,2,5,3,5,10
236,5,1,2,4,0,2,0,3,9,6,5,7,0,3,0,2,2,2,0,0,3,2,5,11
237,5,1,1,3,0,6,0,3,9,4,5,7,0,3,0,2,2,2,3,2,5,3,5,11
238,2,4,0,4,0,2,0,3,7,4,5,7,0,3,3,2,8,2,2,1,1,2,1,12
239,2,0,1,4,0,0,5,3,6,2,5,7,0,3,3,2,8,2,3,2,5,3,5,3
240,2,0,1,4,0,1,7,3,7,2,5,0,0,3,3,4,8,2,0,0,0,2,5,1
241,2,2,1,4,0,3,8,3,7,6,5,0,0,3,3,4,8,2,3,2,5,3,5,0
242,2,1,1,4,2,2,8,3,6,2,5,0,0,3,3,4,2,2,0,1,0,2,5,9
243,1,0,0,2,0,0,0,3,2,6,5,1,0,0,3,2,8,9,0,0,0,2,5,3
244,1,2,0,4,0,3,3,3,7,2,5,1,0,0,3,2,2,7,3,2,5,3,5,4
245,0,4,0,4,0,0,0,3,7,1,5,1,0,0,3,2,2,3,0,1,0,1,5,4
246,0,0,1,4,0,1,10,3,6,0,5,1,0,0,3,2,1,2,3,2,5,3,5,11
247,4,0,1,4,0,3,5,3,6,1,6,7,4,3,3,4,8,3,0,0,3,2,5,0
248,4,0,1,4,0,1,10,3,6,4,5,7,0,3,3,4,2,2,0,1,3,2,5,1
249,4,1,2,1,0,2,7,3,6,0,5,7,0,3,3,4,8,2,0,0,3,2,5,3
250,4,1,1,4,0,2,5,3,7,2,5,7,0,3,3,2,8,2,0,1,1,2,5,10
251,4,1,1,1,0,0,5,3,6,4,5,7,0,3,3,2,8,2,1,1,4,2,5,7
252,4,0,1,1,0,2,3,3,7,2,5,1,0,0,3,2,8,2,0,1,0,1,5,5
253,4,0,1,1,0,2,8,3,7,0,5,1,0,0,3,2,8,11,0,1,0,1,5,1
254,4,0,1,4,0,0,8,0,7,2,5,7,0,3,0,4,8,2,3,2,5,3,5,3
255,1,0,1,4,0,2,5,3,6,2,5,1,0,3,0,5,2,11,0,0,1,2,5,9
256,1,0,1,4,0,2,5,3,6,2,5,1,0,3,0,5,8,2,3,2,5,3,5,18
257,1,0,2,4,0,1,0,3,6,2,5,1,0,3,0,5,2,3,0,1,0,2,5,1
258,3,1,1,4,0,0,7,0,6,2,5,0,0,0,0,2,8,2,3,2,5,3,5,3
259,3,0,1,4,0,2,0,3,2,4,5,0,0,0,0,2,8,2,3,2,5,3,5,12
260,3,0,1,4,0,4,7,0,6,2,5,0,0,0,0,2,8,3,0,1,0,1,5,9
261,3,0,1,4,0,2,0,0,9,2,5,0,4,0,0,2,2,2,2,0,4,2,5,0
262,0,1,1,4,2,2,8,3,12,2,5,0,0,3,0,4,2,9,2,0,4,1,1,17
263,4,1,1,4,2,2,0,3,6,4,5,7,0,0,3,2,8,2,0,1,4,1,5,10
264,4,2,1,4,0,2,9,3,7,4,5,7,0,0,3,2,8,2,3,2,5,3,5,3
265,0,3,1,2,0,1,0,3,7,0,5,0,0,0,3,2,8,11,2,1,1,2,5,10
266,0,0,1,0,0,2,7,0,7,0,5,0,0,0,3,2,8,2,0,1,0,2,5,0
267,1,0,1,4,0,3,9,3,7,2,5,7,0,3,0,2,8,2,0,0,1,2,5,11
268,1,0,2,4,0,4,14,3,6,0,6,7,0,3,0,2,8,2,2,1,1,2,5,10
269,4,0,1,1,0,2,5,3,6,2,5,7,0,0,0,2,8,2,0,1,4,2,5,10
270,6,0,1,1,0,1,5,3,6,2,6,7,0,0,0,2,2,7,0,0,3,2,5,0
